Is_Sale,Source,Reference,Town,PropertyType,Latitude,Longitude,TotalRooms,TotalBedrooms,TotalBathrooms,TotalSqm,TotalIntArea,TotalExtArea,Price,Province
True,Remax,240351001-47133,St Julian's,Apartment,35.91986,14.48087,5.0,2.0,2.0,90.0,0.0,0.0,250000,Central
True,Remax,240171009-1150,Sliema,Penthouse,35.91223,14.49969,7.0,2.0,2.0,250.0,140.0,110.0,820000,Central
True,Remax,240351001-47132,St Julian's,Apartment,35.91986,14.48087,3.0,1.0,1.0,66.0,0.0,0.0,200000,Central
True,Remax,240311040-146,Attard,Villa Semi-detached,35.89158,14.4248,12.0,3.0,3.0,231.0,190.0,99.0,875000,Central
True,Remax,240091001-312,St Julian's,Apartment,35.91986,14.48087,7.0,3.0,2.0,145.0,140.0,5.0,690000,Central
True,Remax,240171025-509,Rabat,Townhouse,35.88588,14.35485,11.0,4.0,2.0,426.0,400.0,26.0,950000,Northern
True,Remax,240171032-7,Bahar Ic-Caghaq,Maisonette,35.9387,14.44646,0.0,0.0,0.0,90.0,66.0,24.0,341000,Northern
True,Remax,240221044-114,Marsa,Terraced House,35.87578,14.48352,10.0,5.0,2.0,256.0,242.0,15.0,346000,South Eastern
True,Remax,240021104-59,Rabat,Penthouse,35.88588,14.35485,5.0,2.0,2.0,177.0,116.0,61.0,362000,Northern
True,Remax,240221044-92,Gzira,Site,35.90512,14.49346,2.0,0.0,0.0,74.0,0.0,0.0,410000,Central
True,Remax,240171008-2129,Qormi,Penthouse,35.87667,14.45933,5.0,2.0,2.0,131.0,85.0,46.0,270000,Southern
True,Remax,240351001-48946,Swieqi,Garage (Residential),35.92315,14.46222,4.0,0.0,1.0,24.0,24.0,0.0,40000,Northern
True,Remax,240091073-34,Sliema,Apartment,35.91223,14.49969,10.0,3.0,3.0,135.0,114.0,21.0,425000,Central
True,Remax,240221001-306,Ta' l-Ibragg,Apartment,35.92097,14.47138,6.0,3.0,2.0,160.0,140.0,20.0,520000,Northern
True,Remax,240061151-8,Cospicua,Apartment,35.88106,14.51644,4.0,1.0,1.0,54.0,54.0,0.0,157300,South Eastern
True,Remax,240091098-138,Birkirkara,Site,35.89574,14.45658,0.0,0.0,0.0,96.0,96.0,0.0,532000,Central
True,Remax,240191026-11,Msida,Apartment,35.89782,14.47937,6.0,3.0,2.0,100.0,92.0,8.0,266000,Central
True,Remax,240251001-610,Pieta,Apartment,35.89257,14.48986,4.0,3.0,0.0,131.0,125.0,6.0,234000,Central
True,Remax,240191013-1358,Salina,Apartment,35.94417,14.42201,5.0,3.0,0.0,115.0,94.0,21.0,245000,Northern
