Type,Province,Town,Bedrooms,Stage,Sale_Count,Rent_Count,Sale_Median_Bathrooms,Rent_Median_Bathrooms,Sale_Median_IntArea,Rent_Median_IntArea,Sale_Median_ExtArea,Rent_Median_ExtArea,Sale_Min_Price,Sale_Max_Price,Sale_Median_Price,Rent_Min_Price,Rent_Max_Price,Rent_Median_Price,Downpayment,Loan,Repayment_Monthly,Vacancy_Monthly,Repairs_Monthly,Management_Monthly,Net_Rent_Monthly,Net_Rent_Year,Total_Years,CoC_Return
Apartment,Central,Hamrun,4.0,Finished,4,3,2.5,2.0,,,,,224000.0,255000.0,244500.0,1200.0,1200.0,1200.0,24450.0,220050.0,1053.08,60.0,60.0,120.0,-93.08,-1117.0,46.22,-4.57
Penthouse,Central,Birkirkara,1.0,Shell,4,33,1.5,1.0,122.0,23.0,42.0,1.0,160000.0,277000.0,173500.0,650.0,1150.0,850.0,17350.0,156150.0,747.28,42.5,42.5,85.0,-67.28,-807.36,46.26,-4.65
Apartment,East,Gzira,2.0,Finished,104,1314,2.0,2.0,90.5,59.0,8.0,1.0,195000.0,339000.0,245000.0,550.0,3300.0,1200.0,24500.0,220500.0,1055.24,60.0,60.0,120.0,-95.24,-1142.85,46.27,-4.66
Penthouse,East,Gzira,3.0,Furnished,6,101,2.0,2.0,110.0,120.0,12.0,50.0,318000.0,735000.0,367500.0,1000.0,3000.0,1800.0,36750.0,330750.0,1582.86,90.0,90.0,180.0,-142.86,-1714.27,46.27,-4.66
Apartment,Gozo,Gozo - Sannat,3.0,Finished,3,31,3.0,2.0,87.0,0.0,8.0,5.0,138000.0,320000.0,143000.0,600.0,1100.0,700.0,14300.0,128700.0,615.91,35.0,35.0,70.0,-55.91,-670.97,46.28,-4.69
Penthouse,South,Paola,3.0,Finished,5,6,2.0,2.0,,,,,165000.0,404000.0,225000.0,1000.0,1400.0,1100.0,22500.0,202500.0,969.1,55.0,55.0,110.0,-89.1,-1069.14,46.31,-4.75
Apartment,South,Paola,1.0,Shell,21,11,1.0,1.0,57.0,,4.0,,109000.0,210000.0,133000.0,650.0,800.0,650.0,13300.0,119700.0,572.84,32.5,32.5,65.0,-52.84,-634.12,46.31,-4.77
Apartment,South,Fgura,3.0,Shell,30,81,2.0,2.0,109.0,80.0,8.0,,180000.0,255000.0,195000.0,550.0,2000.0,950.0,19500.0,175500.0,839.88,47.5,47.5,95.0,-79.88,-958.59,46.38,-4.92
Apartment,East,Pieta,1.0,Shell,20,76,1.0,1.0,53.0,64.0,4.0,4.0,128000.0,173000.0,154000.0,550.0,1200.0,750.0,15400.0,138600.0,663.29,37.5,37.5,75.0,-63.29,-759.5,46.39,-4.93
Apartment,South,Paola,2.0,Shell,15,43,2.0,1.0,81.0,,11.0,,130000.0,186000.0,154000.0,600.0,1350.0,750.0,15400.0,138600.0,663.29,37.5,37.5,75.0,-63.29,-759.5,46.39,-4.93
