Type,Province,Town,Bedrooms,Reference_count,Bathrooms_median,IntArea_median,ExtArea_median,Price_min,Price_max,Price_median
Bungalow,Central,Naxxar,3.0,13,3.0,0.0,0.0,1400.0,5500.0,3500.0
Villa,East,Ta' Xbiex,5.0,1,,,,3500.0,3500.0,3500.0
Farmhouse,East,Bahar Ic-Caghaq,3.0,2,2.5,0.0,0.0,3000.0,3800.0,3400.0
Farmhouse,East,Bahar Ic-Caghaq,4.0,2,3.0,,,3300.0,3500.0,3400.0
Villa,East,Kappara,4.0,7,3.0,0.0,0.0,2000.0,5000.0,3400.0
House of Character,North,Wardija,3.0,2,3.5,0.0,0.0,2800.0,4000.0,3400.0
Farmhouse,East,Gharghur,3.0,2,3.0,0.0,0.0,3000.0,3600.0,3300.0
Bungalow,North,Mellieha,4.0,4,2.5,0.0,0.0,1600.0,4500.0,3300.0
Villa,Central,Balzan,4.0,1,2.0,,,3300.0,3300.0,3300.0
Villa,East,Bahar Ic-Caghaq,4.0,5,3.0,0.0,0.0,3300.0,7500.0,3300.0
Villa Semi-Detached,Central,Attard,3.0,12,2.0,0.0,0.0,1750.0,4000.0,3250.0
Bungalow,Central,Attard,5.0,2,2.5,,,2000.0,4500.0,3250.0
Villa,West,Rabat,3.0,6,2.5,0.0,0.0,2100.0,4000.0,3250.0
Villa Semi-Detached,Central,Attard,4.0,6,2.5,0.0,0.0,2500.0,6200.0,3250.0
House of Character,West,Siggiewi,5.0,6,3.0,0.0,0.0,3200.0,4000.0,3200.0
Penthouse,East,Saint Julian's,4.0,3,3.0,0.0,0.0,1500.0,7000.0,3200.0
Villa,North,Xemxija,3.0,2,2.0,,,2400.0,4000.0,3200.0
Farmhouse,West,Siggiewi,5.0,1,,,,3200.0,3200.0,3200.0
Bungalow Semi-Detached,East,Saint Julian's,3.0,1,2.0,,,3200.0,3200.0,3200.0
Villa,East,Bahar Ic-Caghaq,5.0,1,7.0,0.0,0.0,3200.0,3200.0,3200.0
Villa,East,Ta' Xbiex,6.0,1,4.0,,,3000.0,3000.0,3000.0
Corner Terraced House,East,Swieqi,3.0,1,2.0,,,3000.0,3000.0,3000.0
Villa Semi-Detached,North,Qawra,6.0,1,3.0,0.0,0.0,3000.0,3000.0,3000.0
Bungalow,East,Swieqi,4.0,1,2.0,,,3000.0,3000.0,3000.0
Villa,East,Saint Julian's,4.0,10,3.0,0.0,0.0,2000.0,4500.0,3000.0
Penthouse,South,Kalkara,3.0,4,2.0,,,3000.0,3500.0,3000.0
Bungalow,Central,Mosta,4.0,1,3.0,,,3000.0,3000.0,3000.0
Villa,East,San Gwann,4.0,9,2.0,0.0,0.0,2500.0,5500.0,3000.0
Bungalow,South,Marsaskala,4.0,4,3.0,0.0,0.0,3000.0,3800.0,3000.0
Bungalow,West,Dingli,5.0,1,,0.0,0.0,3000.0,3000.0,3000.0
Farmhouse,North,Bidnija,1.0,1,2.0,,,3000.0,3000.0,3000.0
Farmhouse,Central,Naxxar,4.0,1,3.0,0.0,0.0,3000.0,3000.0,3000.0
Palazzo,Central,Lija,6.0,1,3.0,,,3000.0,3000.0,3000.0
Villa Semi-Detached,Central,Iklin,4.0,1,4.0,0.0,0.0,3000.0,3000.0,3000.0
Villa Semi-Detached,North,Mellieha,2.0,1,3.0,0.0,0.0,3000.0,3000.0,3000.0
Villa,West,Rabat,5.0,3,4.0,,,3000.0,7000.0,3000.0
Guesthouse,South,Birzebbuga,4.0,1,3.0,,,3000.0,3000.0,3000.0
Farmhouse,West,Siggiewi,3.0,1,2.0,0.0,0.0,3000.0,3000.0,3000.0
Guesthouse,South,Marsaskala,2.0,1,,,,3000.0,3000.0,3000.0
Farmhouse,South,Zurrieq,4.0,1,4.0,,,3000.0,3000.0,3000.0
Farmhouse,South,Zabbar,3.0,3,2.0,,,800.0,3000.0,3000.0
Villa Semi-Detached,East,Swieqi,3.0,23,3.0,0.0,0.0,2000.0,6000.0,3000.0
Villa Semi-Detached,North,Bidnija,3.0,5,2.0,0.0,0.0,2900.0,3500.0,3000.0
Villa,South,Paola,3.0,1,2.0,0.0,0.0,3000.0,3000.0,3000.0
Farmhouse,West,Zebbug,3.0,1,4.0,0.0,0.0,3000.0,3000.0,3000.0
Villa Semi-Detached,North,Mgarr,3.0,1,3.0,,,3000.0,3000.0,3000.0
Villa,South,Marsaskala,2.0,1,2.0,0.0,0.0,3000.0,3000.0,3000.0
House of Character,East,San Gwann,5.0,1,4.0,,,3000.0,3000.0,3000.0
