Type,Town,Bedrooms,Sale_Count,Rent_Count,Sale_Median_Bathrooms,Rent_Median_Bathrooms,Sale_Median_IntArea,Rent_Median_IntArea,Sale_Median_ExtArea,Rent_Median_ExtArea,Sale_Min_Price,Sale_Max_Price,Sale_Mean_Price,Rent_Min_Price,Rent_Max_Price,Rent_Mean_Price,Downpayment,Loan,Repayment_Year,Repayment_Monthly,Vacancy_Monthly,Repairs_Monthly,Management_Monthly,Net_Rent_Year,Net_Rent_Monthly,CoC_Return,Down_Years,Prop_Years,Total_Years
Maisonette,Senglea,1.0,8,3,1.0,1.0,30.0,,0.0,,65000,185000,146937.5,1500,1500,1500.0,36734.38,110203.12,6328.73,527.39,75.0,75.0,150.0,8071.27,672.61,0.22,4.55,13.65,18.21
Apartment Duplex,Saint Julian's,4.0,3,3,4.0,3.0,114.0,0.0,23.0,0.0,320000,390000,366666.67,1450,6500,3350.0,91666.67,275000.0,15792.66,1316.06,167.5,167.5,335.0,16367.34,1363.94,0.18,5.6,16.8,22.4
Penthouse,Kalkara,3.0,12,4,2.0,2.0,104.5,,17.0,,303000,595000,350833.33,3000,3500,3125.0,87708.33,263125.0,15110.71,1259.23,156.25,156.25,312.5,14889.29,1240.77,0.17,5.89,17.67,23.56
House of Character,Birkirkara,3.0,12,13,2.0,2.5,160.0,0.0,20.0,0.0,250000,499000,405666.67,1300,6500,3450.0,101416.67,304250.0,17472.43,1456.04,172.5,172.5,345.0,15647.57,1303.96,0.15,6.48,19.44,25.93
Townhouse,Hamrun,2.0,23,4,1.0,1.5,108.0,0.0,6.0,0.0,185000,380000,261543.48,600,4000,2000.0,65385.87,196157.61,11264.91,938.74,100.0,100.0,200.0,7935.09,661.26,0.12,8.24,24.72,32.96
House of Character,Zebbug,4.0,8,4,2.0,3.5,200.0,0.0,20.0,0.0,350000,795000,605500.0,3500,5000,4375.0,151375.0,454125.0,26079.43,2173.29,218.75,218.75,437.5,15920.57,1326.71,0.11,9.51,28.52,38.03
Maisonette,Ta' Xbiex,3.0,4,8,2.0,2.0,118.0,0.0,0.0,0.0,210000,290000,238750.0,1200,3000,1750.0,59687.5,179062.5,10283.18,856.93,87.5,87.5,175.0,6516.82,543.07,0.11,9.16,27.48,36.64
Apartment,Ta' Xbiex,3.0,13,260,2.0,2.0,122.0,0.0,17.5,0.0,233000,780000,371769.23,550,6000,2408.97,92942.31,278826.92,16012.44,1334.37,120.45,120.45,240.9,7113.68,592.81,0.08,13.07,39.2,52.26
Townhouse,Hamrun,3.0,29,5,2.0,2.0,128.0,,18.0,,212000,675000,364724.14,600,4000,2160.0,91181.04,273543.1,15709.0,1309.08,108.0,108.0,216.0,5027.0,418.92,0.06,18.14,54.41,72.55
Apartment,Qormi,4.0,24,23,2.0,2.0,145.0,0.0,13.0,0.0,223200,297000,252425.0,1400,1800,1513.04,63106.25,189318.75,10872.17,906.01,75.65,75.65,151.3,3653.01,304.42,0.06,17.28,51.83,69.1
Apartment,Gozo - Zebbug,2.0,6,18,1.5,2.0,0.0,0.0,0.0,0.0,140000,230000,160666.67,500,2000,936.67,40166.67,120500.0,6920.06,576.67,46.83,46.83,93.67,2071.97,172.66,0.05,19.39,58.16,77.54
Apartment,Gzira,1.0,32,822,1.0,1.0,48.0,0.0,4.5,0.0,139000,185000,173000.0,45,2500,987.51,43250.0,129750.0,7451.27,620.94,49.38,49.38,98.75,2028.83,169.07,0.05,21.32,63.95,85.27
Apartment,Msida,4.0,3,41,2.0,2.0,,0.0,,0.0,180000,285000,228333.33,800,3000,1293.29,57083.33,171250.0,9834.52,819.54,64.66,64.66,129.33,2581.06,215.09,0.05,22.12,66.35,88.46
Penthouse,Saint Julian's,2.0,18,221,2.0,2.0,80.0,0.0,48.0,0.0,255000,520000,374444.44,85,6000,2035.23,93611.11,280833.33,16127.66,1343.97,101.76,101.76,203.52,3410.55,284.21,0.04,27.45,82.34,109.79
Apartment,Ta' Xbiex,2.0,34,95,2.0,2.0,87.0,0.0,4.0,0.0,205000,350000,253279.41,600,4000,1389.47,63319.85,189959.56,10908.97,909.08,69.47,69.47,138.95,2429.94,202.49,0.04,26.06,78.17,104.23
Penthouse Duplex,Sliema,3.0,15,24,3.0,3.0,134.0,0.0,30.0,0.0,440000,690000,609200.0,1400,8000,3137.5,152300.0,456900.0,26238.79,2186.57,156.88,156.88,313.75,3881.21,323.43,0.03,39.24,117.72,156.96
Apartment,Swatar,1.0,3,26,1.0,1.0,,0.0,,0.0,124000,150000,141000.0,600,1100,753.85,35250.0,105750.0,6073.0,506.08,37.69,37.69,75.39,1163.96,97.0,0.03,30.28,90.85,121.14
Apartment,Gozo - Zebbug,3.0,7,19,2.0,2.0,0.0,0.0,0.0,0.0,160000,175000,171000.0,450,2200,888.95,42750.0,128250.0,7365.12,613.76,44.45,44.45,88.9,1168.8,97.4,0.03,36.58,109.73,146.3
Apartment,Santa Venera,4.0,4,8,2.5,2.0,0.0,0.0,0.0,0.0,255000,320000,285750.0,800,3000,1475.0,71437.5,214312.5,12307.51,1025.63,73.75,73.75,147.5,1852.49,154.37,0.03,38.56,115.69,154.25
House of Character,Zejtun,3.0,12,8,2.0,3.0,136.0,0.0,24.0,0.0,235000,637000,465333.33,830,4000,2491.25,116333.33,349000.0,20042.33,1670.19,124.56,124.56,249.12,3873.67,322.81,0.03,30.03,90.1,120.13
Penthouse Duplex,Gzira,3.0,4,10,3.0,2.0,92.0,0.0,43.0,0.0,310000,390000,347500.0,800,2900,1820.0,86875.0,260625.0,14967.14,1247.26,91.0,91.0,182.0,2504.86,208.74,0.03,34.68,104.05,138.73
Apartment,San Gwann,4.0,5,16,2.0,3.0,116.0,0.0,14.0,0.0,265000,325000,290600.0,950,3800,1465.62,72650.0,217950.0,12516.4,1043.03,73.28,73.28,146.56,1553.55,129.46,0.02,46.76,140.29,187.06
Apartment,Santa Venera,1.0,16,24,1.0,1.0,60.0,0.0,2.0,0.0,110000,225000,153306.25,195,1050,759.17,38326.56,114979.69,6603.04,550.25,37.96,37.96,75.92,684.99,57.08,0.02,55.95,167.86,223.81
House of Character,Attard,3.0,3,8,2.0,2.0,140.0,0.0,32.0,0.0,535000,535000,535000.0,1500,6500,2700.0,133750.0,401250.0,23042.93,1920.24,135.0,135.0,270.0,2877.07,239.76,0.02,46.49,139.46,185.95
Apartment,Pieta,1.0,121,61,1.0,1.0,50.0,0.0,4.0,0.0,100000,225000,155047.11,500,1200,770.49,38761.78,116285.33,6678.02,556.5,38.52,38.52,77.05,718.68,59.89,0.02,53.93,161.8,215.74
Apartment,Pieta,3.0,148,165,2.0,2.0,118.0,0.0,10.0,0.0,155000,450000,269927.7,600,3000,1329.7,67481.92,202445.78,11626.03,968.84,66.48,66.48,132.97,1139.09,94.92,0.02,59.24,177.73,236.97
Townhouse,Senglea,3.0,33,5,2.0,3.0,110.0,0.0,3.0,0.0,266000,750000,447575.76,1700,2900,2200.0,111893.94,335681.82,19277.49,1606.46,110.0,110.0,220.0,1842.51,153.54,0.02,60.73,182.19,242.92
Apartment,Kappara,1.0,12,30,1.0,1.0,50.0,0.0,7.0,0.0,170000,239000,188000.0,600,1600,921.67,47000.0,141000.0,8097.33,674.78,46.08,46.08,92.17,750.7,62.56,0.02,62.61,187.82,250.43
Apartment Duplex,Birkirkara,2.0,5,3,2.0,2.0,,80.0,,10.0,195000,250000,211800.0,850,1200,1083.33,52950.0,158850.0,9122.42,760.2,54.17,54.17,108.33,1277.55,106.46,0.02,41.45,124.34,165.79
Apartment,Paola,3.0,124,46,2.0,2.0,114.0,0.0,10.0,0.0,140000,310000,193746.93,650,2000,992.35,48436.73,145310.2,8344.86,695.4,49.62,49.62,99.24,1181.7,98.48,0.02,40.99,122.97,163.96
Apartment,Birkirkara,4.0,5,19,2.0,2.0,,0.0,,0.0,212000,315000,253400.0,850,1700,1238.42,63350.0,190050.0,10914.17,909.51,61.92,61.92,123.84,974.67,81.22,0.02,65.0,194.99,259.99
Apartment,Qawra,1.0,9,91,1.0,1.0,39.0,0.0,5.0,0.0,118000,180000,141322.22,350,1600,662.86,35330.56,105991.66,6086.88,507.24,33.14,33.14,66.29,276.58,23.05,0.01,127.74,383.22,510.96
Apartment,Gzira,2.0,290,1078,2.0,2.0,89.0,0.0,10.0,0.0,179500,292000,239398.28,45,4000,1164.64,59849.57,179548.71,10311.1,859.26,58.23,58.23,116.46,869.44,72.45,0.01,68.84,206.51,275.35
Maisonette,Gozo - Sannat,3.0,12,3,2.0,3.0,123.5,0.0,30.0,0.0,117000,318000,193000.0,800,1100,916.67,48250.0,144750.0,8312.68,692.72,45.83,45.83,91.67,487.35,40.61,0.01,99.01,297.02,396.02
Apartment,Senglea,2.0,7,25,1.0,1.0,0.0,0.0,0.0,0.0,250000,345000,288571.43,75,3500,1349.8,72142.86,216428.57,12429.03,1035.75,67.49,67.49,134.98,529.05,44.09,0.01,136.36,409.09,545.45
House of Character,Senglea,2.0,3,3,2.0,2.0,72.5,35.0,15.5,2.5,220000,325000,290000.0,85,3500,1411.67,72500.0,217500.0,12490.56,1040.88,70.58,70.58,141.17,1061.47,88.46,0.01,68.3,204.9,273.21
Penthouse Duplex,Saint Julian's,3.0,5,28,2.0,3.0,118.0,0.0,75.0,0.0,475000,750000,590000.0,1100,4500,2805.36,147500.0,442500.0,25411.83,2117.65,140.27,140.27,280.54,1519.62,126.64,0.01,97.06,291.19,388.25
Maisonette Duplex,Gharghur,3.0,3,3,3.0,3.0,139.0,275.0,43.0,60.0,380000,500000,456666.67,1250,2800,2150.0,114166.67,342500.0,19669.05,1639.09,107.5,107.5,215.0,970.95,80.91,0.01,117.58,352.75,470.33
Apartment,Paola,2.0,76,23,2.0,1.0,80.5,0.0,10.0,0.0,109000,260000,164573.68,500,1350,792.39,41143.42,123430.26,7088.34,590.69,39.62,39.62,79.24,518.61,43.22,0.01,79.33,238.0,317.34
Apartment,Mellieha,1.0,11,58,1.0,1.0,66.5,0.0,10.5,0.0,185000,218000,205000.0,400,2000,992.24,51250.0,153750.0,8829.54,735.79,49.61,49.61,99.22,695.97,58.0,0.01,73.64,220.92,294.55
Penthouse,Gozo - Xlendi,2.0,5,3,2.0,2.0,110.0,0.0,22.0,0.0,163500,245000,210900.0,600,1200,1000.0,52725.0,158175.0,9083.65,756.97,50.0,50.0,100.0,516.35,43.03,0.01,102.11,306.33,408.45
Townhouse,Valletta,3.0,4,7,2.0,2.5,160.0,0.0,22.0,0.0,563000,695000,599500.0,116,7500,2866.57,149875.0,449625.0,25821.01,2151.75,143.33,143.33,286.66,1698.07,141.51,0.01,88.26,264.79,353.05
Maisonette,Saint Julian's,2.0,18,87,1.0,2.0,84.0,0.0,7.0,0.0,190000,337000,294277.78,115,4200,1385.23,73569.45,220708.34,12674.81,1056.23,69.26,69.26,138.52,623.4,51.95,0.01,118.01,354.04,472.05
Maisonette Duplex,Senglea,2.0,3,3,2.0,2.0,,0.0,,0.0,160000,255000,213333.33,175,1500,991.67,53333.33,160000.0,9188.46,765.7,49.58,49.58,99.17,331.57,27.63,0.01,160.85,482.55,643.4
Apartment,Sliema,4.0,32,196,2.0,3.0,156.0,0.0,12.5,0.0,315000,795000,565375.0,110,7000,2647.34,141343.75,424031.25,24351.21,2029.27,132.37,132.37,264.73,1063.25,88.6,0.01,132.94,398.81,531.74
Apartment,Zurrieq,1.0,13,3,1.0,1.0,84.0,0.0,6.0,0.0,137000,230000,171884.62,800,850,833.33,42971.16,128913.46,7403.23,616.94,41.67,41.67,83.33,596.74,49.73,0.01,72.01,216.03,288.04
Penthouse,Msida,2.0,62,177,2.0,2.0,79.0,0.0,25.0,0.0,195000,320000,257604.84,96,2000,1139.21,64401.21,193203.63,11095.27,924.61,56.96,56.96,113.92,-158.86,-13.24,-0.0,-405.4,-1216.21,-1621.61
Penthouse Duplex,Gzira,2.0,13,20,2.0,2.0,95.0,0.0,41.0,0.0,245000,356000,325769.23,1000,2700,1425.0,81442.31,244326.92,14031.17,1169.26,71.25,71.25,142.5,-351.17,-29.26,-0.0,-231.91,-695.74,-927.65
Maisonette,Xghajra,2.0,3,11,2.0,2.0,,0.0,,0.0,170100,207000,190700.0,650,1200,863.64,47675.0,143025.0,8213.62,684.47,43.18,43.18,86.36,77.32,6.44,0.0,616.57,1849.71,2466.29
Apartment,Pembroke,3.0,62,19,2.0,2.0,95.0,0.0,12.0,0.0,275000,495000,347193.55,950,2400,1552.63,86798.39,260395.16,14953.94,1246.16,77.63,77.63,155.26,-48.69,-4.06,-0.0,-1782.61,-5347.82,-7130.43
Penthouse,Msida,3.0,16,88,2.0,2.0,,0.0,,0.0,215000,350000,313750.0,700,3500,1384.09,78437.5,235312.5,13513.5,1126.12,69.2,69.2,138.41,-226.23,-18.85,-0.0,-346.71,-1040.14,-1386.85
Apartment,Gzira,3.0,190,559,2.0,2.0,111.0,0.0,9.0,0.0,205000,565000,308036.84,67,7000,1402.3,77009.21,231027.63,13267.42,1105.62,70.11,70.11,140.23,194.66,16.22,0.0,395.62,1186.86,1582.48
Penthouse,Saint Julian's,3.0,36,158,2.0,2.0,120.0,0.0,23.0,0.0,285000,826000,561277.78,800,9500,2518.04,140319.44,420958.34,24174.74,2014.56,125.9,125.9,251.8,-1.56,-0.13,-0.0,-90123.11,-270369.32,-360492.43
Penthouse,Saint Julian's,1.0,9,121,1.0,1.0,66.0,0.0,17.0,0.0,225000,280000,253333.33,65,1800,1120.58,63333.33,190000.0,10911.3,909.27,56.03,56.03,112.06,-153.73,-12.81,-0.0,-411.98,-1235.95,-1647.94
Apartment,Msida,1.0,213,385,1.0,1.0,57.5,0.0,5.5,0.0,109000,233000,167648.83,100,1200,745.56,41912.21,125736.62,7220.79,601.73,37.28,37.28,74.56,-63.41,-5.28,-0.0,-660.97,-1982.9,-2643.86
Apartment,Msida,2.0,350,818,2.0,2.0,80.0,0.0,6.0,0.0,124000,265000,207916.71,80,1600,917.87,51979.18,155937.53,8955.16,746.26,45.89,45.89,91.79,-143.61,-11.97,-0.0,-361.95,-1085.85,-1447.8
Apartment,Pieta,2.0,149,171,2.0,2.0,90.0,0.0,7.0,0.0,143000,320000,217808.72,600,2200,1004.01,54452.18,163356.54,9381.22,781.77,50.2,50.2,100.4,257.28,21.44,0.0,211.65,634.94,846.59
House of Character,Rabat,3.0,12,14,2.0,2.0,102.0,0.0,15.0,0.0,215000,582000,414583.33,850,6083,1827.36,103645.83,310937.5,17856.48,1488.04,91.37,91.37,182.74,-313.82,-26.15,-0.0,-330.27,-990.81,-1321.08
Penthouse,Pieta,2.0,31,49,2.0,2.0,84.0,0.0,34.5,0.0,195000,350000,286954.84,650,1800,1293.88,71738.71,215216.13,12359.4,1029.95,64.69,64.69,129.39,61.84,5.15,0.0,1160.0,3479.99,4639.99
Penthouse,Fgura,1.0,19,8,1.0,1.0,61.0,0.0,24.5,0.0,155000,223000,185789.47,700,1000,823.75,46447.37,139342.1,8002.12,666.84,41.19,41.19,82.38,-94.12,-7.84,-0.0,-493.49,-1480.47,-1973.96
Apartment,Ta' Xbiex,1.0,8,40,1.0,1.0,50.0,0.0,5.0,0.0,155000,225000,182500.0,18,1400,822.32,45625.0,136875.0,7860.44,655.04,41.12,41.12,82.23,33.83,2.82,0.0,1348.57,4045.71,5394.28
Penthouse,Pieta,1.0,18,9,1.0,1.0,57.0,0.0,29.0,0.0,200000,450000,328500.0,800,3250,1472.22,82125.0,246375.0,14148.79,1179.07,73.61,73.61,147.22,-15.48,-1.29,-0.0,-5305.33,-15915.98,-21221.3
Penthouse,Gzira,3.0,25,73,2.0,2.0,101.0,0.0,12.0,0.0,300000,735000,409800.0,1000,3000,1845.89,102450.0,307350.0,17650.46,1470.87,92.29,92.29,184.59,70.09,5.84,0.0,1461.74,4385.21,5846.95
Penthouse,Sliema,3.0,25,244,2.0,2.0,129.0,0.0,30.0,0.0,296016,825000,642040.64,1000,9500,2908.24,160510.16,481530.48,27653.27,2304.44,145.41,145.41,290.82,265.83,22.15,0.0,603.8,1811.4,2415.2
Apartment,San Gwann,1.0,46,84,1.0,1.0,60.0,0.0,8.0,0.0,145000,255000,187100.0,45,3250,847.33,46775.0,140325.0,8058.57,671.55,42.37,42.37,84.73,75.8,6.32,0.0,617.07,1851.2,2468.27
Penthouse,Santa Venera,1.0,33,11,1.0,1.0,58.5,0.0,18.0,0.0,150000,307000,200121.21,550,1050,886.36,50030.3,150090.91,8619.4,718.28,44.32,44.32,88.64,-110.35,-9.2,-0.0,-453.4,-1360.19,-1813.59
Apartment Duplex,Sliema,3.0,4,10,2.0,2.0,139.0,0.0,18.0,0.0,345000,740000,556250.0,1200,8000,2460.0,139062.5,417187.5,23958.19,1996.52,123.0,123.0,246.0,-342.19,-28.52,-0.0,-406.39,-1219.17,-1625.56
Apartment,Saint Paul's Bay,1.0,55,115,1.0,1.0,57.0,0.0,7.0,0.0,125000,300000,173081.82,70,1650,778.65,43270.46,129811.36,7454.79,621.23,38.93,38.93,77.87,20.25,1.69,0.0,2136.85,6410.54,8547.39
Apartment,Bahar Ic-Caghaq,3.0,21,126,2.0,2.0,105.0,0.0,3.0,0.0,265000,380000,334238.1,600,2500,1473.49,83559.52,250678.58,14395.94,1199.66,73.67,73.67,147.35,-250.43,-20.87,-0.0,-333.66,-1000.98,-1334.64
Maisonette,Luqa,2.0,14,17,2.0,2.0,86.5,0.0,23.0,0.0,189000,339000,233142.86,600,4117,1024.53,58285.72,174857.14,10041.67,836.81,51.23,51.23,102.45,-206.19,-17.18,-0.0,-282.69,-848.06,-1130.74
Maisonette,Saint Julian's,3.0,15,113,2.0,2.0,120.0,0.0,25.0,0.0,320000,459000,387905.33,700,7000,1606.19,96976.33,290929.0,16707.43,1392.29,80.31,80.31,160.62,-1288.01,-107.33,-0.01,-75.29,-225.87,-301.17
Maisonette,Pieta,1.0,9,12,1.0,1.0,66.5,0.0,1.5,0.0,140000,266000,185666.67,650,900,779.17,46416.67,139250.0,7996.83,666.4,38.96,38.96,77.92,-516.8,-43.07,-0.01,-89.82,-269.45,-359.26
Maisonette,Pieta,2.0,16,15,1.5,2.0,95.0,0.0,9.0,0.0,143000,308000,227500.0,700,1200,950.0,56875.0,170625.0,9798.63,816.55,47.5,47.5,95.0,-678.63,-56.55,-0.01,-83.81,-251.43,-335.23
Apartment Duplex,Gzira,2.0,9,4,2.0,1.5,,,,,200000,310000,259555.56,850,1300,1112.5,64888.89,194666.67,11179.29,931.61,55.62,55.62,111.25,-499.29,-41.61,-0.01,-129.96,-389.89,-519.85
Farmhouse,Gozo - Xewkija,4.0,5,6,2.0,4.0,272.0,0.0,85.0,0.0,298000,450000,345200.0,1200,2000,1500.0,86300.0,258900.0,14868.08,1239.01,75.0,75.0,150.0,-468.08,-39.01,-0.01,-184.37,-553.12,-737.49
Apartment,Zejtun,1.0,5,6,1.0,1.0,52.0,0.0,13.0,0.0,140000,180000,160000.0,565,850,685.83,40000.0,120000.0,6891.34,574.28,34.29,34.29,68.58,-307.38,-25.61,-0.01,-130.13,-390.4,-520.53
Maisonette,Saint Julian's,1.0,11,37,1.0,1.0,53.0,0.0,0.0,0.0,180000,255000,216636.36,500,1600,920.68,54159.09,162477.27,9330.72,777.56,46.03,46.03,92.07,-492.2,-41.02,-0.01,-110.04,-330.11,-440.14
Penthouse Duplex,Mellieha,2.0,3,8,2.0,2.0,83.0,0.0,56.0,0.0,350000,352000,351000.0,800,2250,1475.0,87750.0,263250.0,15117.89,1259.82,73.75,73.75,147.5,-957.89,-79.82,-0.01,-91.61,-274.82,-366.43
Apartment,Tarxien,2.0,31,30,2.0,2.0,90.5,0.0,8.5,0.0,159500,275000,196177.42,600,1200,821.67,49044.36,147133.06,8449.54,704.13,41.08,41.08,82.17,-561.51,-46.79,-0.01,-87.34,-262.03,-349.38
Apartment,Xghajra,2.0,15,38,2.0,2.0,80.0,0.0,5.0,0.0,159500,240000,197566.67,600,1300,830.92,49391.67,148175.0,8509.37,709.11,41.55,41.55,83.09,-532.54,-44.38,-0.01,-92.75,-278.24,-370.99
Apartment,Msida,3.0,170,485,2.0,2.0,104.0,0.0,9.0,0.0,182000,345000,264874.56,60,2000,1117.22,66218.64,198655.92,11408.39,950.7,55.86,55.86,111.72,-683.07,-56.92,-0.01,-96.94,-290.83,-387.77
Apartment,Qormi,3.0,269,62,2.0,2.0,120.0,0.0,14.0,0.0,160000,395000,246666.39,600,1600,1016.13,61666.6,184999.79,10624.14,885.35,50.81,50.81,101.61,-869.3,-72.44,-0.01,-70.94,-212.82,-283.75
Maisonette,Swieqi,1.0,5,46,1.0,1.0,,0.0,,0.0,180000,218000,206200.0,600,2000,893.59,51550.0,154650.0,8881.22,740.1,44.68,44.68,89.36,-302.76,-25.23,-0.01,-170.27,-510.81,-681.08
Apartment,Swatar,4.0,5,7,2.0,2.0,,0.0,,0.0,255000,330000,280000.0,700,1800,1214.29,70000.0,210000.0,12059.85,1004.99,60.71,60.71,121.43,-402.67,-33.56,-0.01,-173.84,-521.52,-695.36
Apartment,Swatar,2.0,11,126,2.0,2.0,0.0,0.0,0.0,0.0,190000,233000,215727.27,85,1400,891.98,53931.82,161795.45,9291.57,774.3,44.6,44.6,89.2,-728.56,-60.71,-0.01,-74.03,-222.08,-296.1
Apartment,Sliema,2.0,225,2691,2.0,2.0,89.5,0.0,5.0,0.0,217000,495000,351404.44,50,7000,1484.48,87851.11,263553.33,15135.31,1261.28,74.22,74.22,148.45,-884.3,-73.69,-0.01,-99.35,-298.04,-397.38
Apartment,Santa Venera,3.0,107,83,2.0,2.0,116.0,0.0,10.0,0.0,175000,397000,255927.1,600,1850,1057.41,63981.78,191945.32,11023.01,918.58,52.87,52.87,105.74,-871.88,-72.66,-0.01,-73.38,-220.15,-293.54
Penthouse,Msida,1.0,72,104,1.0,1.0,60.5,0.0,30.0,0.0,160000,310000,223795.83,600,1600,932.64,55948.96,167846.87,9639.09,803.26,46.63,46.63,93.26,-685.74,-57.15,-0.01,-81.59,-244.77,-326.35
Apartment,Saint Julian's,3.0,268,1416,2.0,2.0,129.5,0.0,10.5,0.0,223000,825000,466849.18,1,7500,1960.88,116712.3,350136.88,20107.62,1675.63,98.04,98.04,196.09,-1283.17,-106.93,-0.01,-90.96,-272.87,-363.83
Apartment,Safi,2.0,20,18,2.0,2.0,81.5,0.0,13.5,0.0,163000,265000,194350.0,600,1100,811.11,48587.5,145762.5,8370.83,697.57,40.56,40.56,81.11,-584.17,-48.68,-0.01,-83.17,-249.52,-332.69
Apartment,Rabat,1.0,8,8,1.0,1.0,66.0,0.0,6.0,0.0,160000,205000,176875.0,600,900,733.12,44218.75,132656.25,7618.17,634.85,36.66,36.66,73.31,-580.21,-48.35,-0.01,-76.21,-228.63,-304.84
Apartment,Saint Paul's Bay,3.0,441,503,2.0,2.0,109.0,0.0,12.0,0.0,181000,495000,268285.94,150,4000,1103.01,67071.48,201214.46,11555.32,962.94,55.15,55.15,110.3,-966.42,-80.54,-0.01,-69.4,-208.21,-277.61
Apartment,Saint Julian's,2.0,317,1653,2.0,2.0,81.0,0.0,8.0,0.0,200000,750000,365692.43,60,10000,1548.68,91423.11,274269.32,15750.7,1312.56,77.43,77.43,154.87,-883.38,-73.61,-0.01,-103.49,-310.48,-413.97
Maisonette,Gzira,3.0,25,36,2.0,2.0,125.0,0.0,8.0,0.0,225000,450000,330960.0,850,3500,1386.11,82740.0,248220.0,14254.75,1187.9,69.31,69.31,138.61,-948.09,-79.01,-0.01,-87.27,-261.81,-349.08
Apartment,Kappara,2.0,26,97,2.0,2.0,87.5,0.0,14.0,0.0,190000,328500,264911.35,700,1750,1123.25,66227.84,198683.51,11409.97,950.83,56.16,56.16,112.32,-626.77,-52.23,-0.01,-105.67,-317.0,-422.66
Apartment,Floriana,2.0,7,35,1.0,1.0,87.5,0.0,13.0,0.0,255000,360000,296142.86,600,3500,1281.43,74035.72,222107.14,12755.14,1062.93,64.07,64.07,128.14,-453.41,-37.78,-0.01,-163.29,-489.86,-653.14
Maisonette,Gzira,1.0,14,40,1.0,1.0,68.0,0.0,12.0,0.0,160000,250000,202642.86,575,1150,832.5,50660.72,151982.14,8728.01,727.33,41.62,41.62,83.25,-736.01,-61.33,-0.01,-68.83,-206.49,-275.33
Maisonette,Kalkara,2.0,12,8,2.0,1.5,80.0,0.0,18.0,0.0,215000,383000,256083.33,750,2000,1050.0,64020.83,192062.5,11029.74,919.15,52.5,52.5,105.0,-949.74,-79.15,-0.01,-67.41,-202.23,-269.64
Apartment,Ghaxaq,4.0,10,3,2.0,3.0,,,,,260000,270000,266500.0,1100,1200,1133.33,66625.0,199875.0,11478.4,956.53,56.67,56.67,113.33,-598.43,-49.87,-0.01,-111.33,-334.0,-445.33
Apartment,Bugibba,1.0,21,60,1.0,1.0,20.0,0.0,0.0,0.0,115000,195000,160354.76,70,1400,694.05,40088.69,120266.07,6906.62,575.55,34.7,34.7,69.4,-243.74,-20.31,-0.01,-164.47,-493.41,-657.88
Apartment,Gozo - Fontana,2.0,11,4,2.0,1.5,97.0,0.0,8.0,0.0,110000,244000,155454.55,450,850,650.0,38863.64,116590.91,6695.57,557.96,32.5,32.5,65.0,-455.57,-37.96,-0.01,-85.31,-255.92,-341.23
Apartment,Gudja,3.0,29,16,2.0,2.0,115.0,0.0,10.0,0.0,223000,308000,257034.48,750,1500,1071.56,64258.62,192775.86,11070.71,922.56,53.58,53.58,107.16,-783.73,-65.31,-0.01,-81.99,-245.97,-327.96
Apartment,Hamrun,3.0,83,21,2.0,2.0,118.0,0.0,12.0,0.0,133000,320000,216391.81,600,1200,916.67,54097.95,162293.86,9320.19,776.68,45.83,45.83,91.67,-520.16,-43.35,-0.01,-104.0,-312.01,-416.01
Penthouse,Gozo - Victoria,1.0,3,4,1.0,1.0,,0.0,,0.0,144000,160000,151333.33,550,750,637.5,37833.33,113500.0,6518.06,543.17,31.88,31.88,63.75,-398.06,-33.17,-0.01,-95.04,-285.13,-380.17
Apartment,Gozo - Xaghra,1.0,12,3,1.0,1.0,76.0,,43.0,,117000,191000,150833.33,450,750,650.0,37708.33,113125.0,6496.53,541.38,32.5,32.5,65.0,-256.53,-21.38,-0.01,-147.0,-440.99,-587.98
Maisonette,Balzan,2.0,7,23,2.0,2.0,91.0,0.0,21.0,0.0,230000,340000,258571.43,700,2500,1093.48,64642.86,193928.57,11136.91,928.08,54.67,54.67,109.35,-639.5,-53.29,-0.01,-101.08,-303.25,-404.34
Apartment,Kalkara,3.0,69,37,2.0,2.0,119.0,0.0,9.0,0.0,223000,750000,319818.84,750,3000,1322.3,79954.71,239864.13,13774.89,1147.91,66.11,66.11,132.23,-1080.81,-90.07,-0.01,-73.98,-221.93,-295.91
Penthouse,Kalkara,1.0,4,3,1.0,1.0,60.0,0.0,46.0,0.0,180000,190000,185250.0,750,850,783.33,46312.5,138937.5,7978.88,664.91,39.17,39.17,78.33,-458.92,-38.24,-0.01,-100.92,-302.75,-403.67
Apartment,Gozo - Xaghra,2.0,38,24,2.0,2.0,86.5,0.0,19.5,0.0,125000,225000,168868.42,450,1000,702.08,42217.1,126651.32,7273.32,606.11,35.1,35.1,70.21,-533.35,-44.45,-0.01,-79.15,-237.46,-316.62
Maisonette,Manikata,3.0,6,8,2.5,2.0,118.0,0.0,18.0,0.0,209000,390000,272833.33,900,1300,1125.0,68208.33,204625.0,11751.18,979.26,56.25,56.25,112.5,-951.18,-79.26,-0.01,-71.71,-215.13,-286.84
Maisonette,Marsaskala,1.0,6,12,1.0,1.0,80.0,0.0,4.0,0.0,155000,205000,184166.67,450,1200,780.0,46041.67,138125.0,7932.22,661.02,39.0,39.0,78.0,-444.22,-37.02,-0.01,-103.64,-310.93,-414.58
