Type,Town,Bedrooms,Sale_Count,Rent_Count,Sale_Median_Bathrooms,Rent_Median_Bathrooms,Sale_Median_IntArea,Rent_Median_IntArea,Sale_Median_ExtArea,Rent_Median_ExtArea,Sale_Min_Price,Sale_Max_Price,Sale_Mean_Price,Rent_Min_Price,Rent_Max_Price,Rent_Mean_Price,Downpayment,Loan,Repayment_Year,Repayment_Monthly,Vacancy_Monthly,Repairs_Monthly,Management_Monthly,Net_Rent_Year,Net_Rent_Monthly,CoC_Return,Down_Years,Prop_Years,Total_Years
Maisonette,Mosta,3.0,129,105,2.0,2.0,131.0,0.0,41.0,0.0,245000,595000,383046.51,600,2000,1081.33,95761.63,287284.88,16498.16,1374.85,54.07,54.07,108.13,-6117.39,-509.78,-0.06,-15.65,-46.96,-62.62
Penthouse,Bahar Ic-Caghaq,2.0,6,13,2.0,2.0,,0.0,,0.0,365000,550000,442500.0,900,1500,1348.08,110625.0,331875.0,19058.87,1588.24,67.4,67.4,134.81,-6117.31,-509.78,-0.06,-18.08,-54.25,-72.34
Maisonette,Zabbar,3.0,82,23,2.0,2.0,114.0,0.0,10.0,0.0,202000,478000,299902.44,700,1200,869.57,74975.61,224926.83,12917.07,1076.42,43.48,43.48,86.96,-4569.2,-380.77,-0.06,-16.41,-49.23,-65.64
Maisonette,Xghajra,3.0,19,7,2.0,2.0,99.0,0.0,16.0,0.0,220000,450000,294289.47,800,1200,885.71,73572.37,220717.1,12675.31,1056.28,44.29,44.29,88.57,-4172.5,-347.71,-0.06,-17.63,-52.9,-70.53
Maisonette,Valletta,2.0,10,9,1.5,1.5,42.5,0.0,0.0,0.0,320000,600000,485500.0,750,2500,1366.67,121375.0,364125.0,20910.92,1742.58,68.33,68.33,136.67,-7790.89,-649.24,-0.06,-15.58,-46.74,-62.32
Maisonette,Swatar,2.0,10,36,2.0,2.0,0.0,0.0,8.0,0.0,280000,303000,294400.0,600,1200,868.06,73600.0,220800.0,12680.07,1056.67,43.4,43.4,86.81,-4346.7,-362.22,-0.06,-16.93,-50.8,-67.73
Maisonette,Siggiewi,2.0,16,5,2.0,2.0,96.5,0.0,19.0,0.0,197000,308000,245562.5,650,700,690.0,61390.62,184171.88,10576.6,881.38,34.5,34.5,69.0,-3952.6,-329.38,-0.06,-15.53,-46.6,-62.13
House of Character,Qormi,2.0,12,4,1.0,1.5,121.5,0.0,25.5,0.0,170000,650000,373750.0,600,1600,1112.5,93437.5,280312.5,16097.75,1341.48,55.62,55.62,111.25,-5417.75,-451.48,-0.06,-17.25,-51.74,-68.99
House of Character,Mosta,3.0,3,9,2.0,2.0,134.0,0.0,58.0,0.0,620000,650000,640000.0,1300,2500,1822.22,160000.0,480000.0,27565.38,2297.11,91.11,91.11,182.22,-10072.07,-839.34,-0.06,-15.89,-47.66,-63.54
Maisonette,Qormi,2.0,40,8,2.0,1.0,105.5,0.0,15.5,0.0,155000,440000,263680.0,700,850,781.25,65920.0,197760.0,11356.94,946.41,39.06,39.06,78.12,-3856.94,-321.41,-0.06,-17.09,-51.27,-68.37
Maisonette,Luqa,3.0,18,12,2.0,2.0,125.0,0.0,8.0,0.0,165000,500000,336222.22,700,1300,970.83,84055.56,252166.66,14481.39,1206.78,48.54,48.54,97.08,-5161.43,-430.12,-0.06,-16.29,-48.86,-65.14
Maisonette,Gozo - Munxar,3.0,3,3,2.0,2.0,,0.0,,0.0,255000,255000,255000.0,550,875,741.67,63750.0,191250.0,10983.08,915.26,37.08,37.08,74.17,-3863.05,-321.92,-0.06,-16.5,-49.51,-66.01
Apartment,Gozo - Kercem,2.0,3,7,2.0,2.0,110.0,0.0,20.0,0.0,185000,255000,210000.0,500,750,635.71,52500.0,157500.0,9044.89,753.74,31.79,31.79,63.57,-2942.07,-245.17,-0.06,-17.84,-53.53,-71.38
Apartment,Birzebbuga,1.0,11,20,1.0,1.0,65.0,0.0,5.0,0.0,128000,280000,207909.09,420,775,598.25,51977.27,155931.82,8954.83,746.24,29.91,29.91,59.82,-3211.63,-267.64,-0.06,-16.18,-48.55,-64.74
Penthouse,Gozo - Victoria,2.0,23,18,2.0,2.0,86.0,0.0,29.0,0.0,170000,350000,252391.7,550,1200,741.67,63097.92,189293.78,10870.74,905.89,37.08,37.08,74.17,-3750.71,-312.56,-0.06,-16.82,-50.47,-67.29
Apartment,Birzebbuga,2.0,69,78,2.0,1.0,74.0,0.0,6.0,0.0,166000,308000,240913.04,500,1200,720.06,60228.26,180684.78,10376.34,864.7,36.0,36.0,72.01,-3463.77,-288.65,-0.06,-17.39,-52.16,-69.55
Apartment,Blata Il-Bajda,3.0,11,5,2.0,2.0,,,,,286200,400000,304754.55,900,950,920.0,76188.64,228565.91,13126.05,1093.84,46.0,46.0,92.0,-4294.05,-357.84,-0.06,-17.74,-53.23,-70.97
Apartment,Cospicua,1.0,6,8,1.0,1.0,55.0,0.0,0.0,0.0,155000,390000,227883.33,500,800,659.38,56970.83,170912.5,9815.14,817.93,32.97,32.97,65.94,-3485.09,-290.42,-0.06,-16.35,-49.04,-65.39
Maisonette,Ghaxaq,3.0,32,12,2.0,2.0,119.0,0.0,27.5,0.0,240000,565000,310156.25,700,1350,933.33,77539.06,232617.19,13358.71,1113.23,46.67,46.67,93.33,-4398.74,-366.56,-0.06,-17.63,-52.88,-70.51
Apartment,Gharghur,2.0,24,63,2.0,2.0,86.0,0.0,19.0,0.0,265000,399000,339375.0,600,1500,996.83,84843.75,254531.25,14617.19,1218.1,49.84,49.84,99.68,-5047.62,-420.63,-0.06,-16.81,-50.43,-67.23
Maisonette,Qrendi,2.0,12,8,1.0,2.0,85.0,0.0,33.0,0.0,167000,295000,269291.67,700,850,781.25,67322.92,201968.75,11598.64,966.55,39.06,39.06,78.12,-4098.64,-341.55,-0.06,-16.43,-49.28,-65.7
Apartment,Gozo - Kercem,3.0,26,12,2.0,2.0,149.0,0.0,15.0,0.0,120000,310000,212769.23,450,900,647.92,53192.31,159576.92,9164.16,763.68,32.4,32.4,64.79,-2944.13,-245.34,-0.06,-18.07,-54.2,-72.27
Maisonette,Bugibba,3.0,5,19,2.0,2.0,100.0,0.0,15.0,0.0,245000,300000,268600.0,500,1200,789.47,67150.0,201450.0,11568.84,964.07,39.47,39.47,78.95,-3989.93,-332.49,-0.06,-16.83,-50.49,-67.32
Apartment,Kalkara,2.0,124,47,2.0,2.0,94.0,0.0,11.5,0.0,185000,805000,414991.13,650,3000,1211.7,103747.78,311243.35,17874.04,1489.5,60.59,60.59,121.17,-6241.72,-520.14,-0.06,-16.62,-49.86,-66.49
Maisonette,Bugibba,2.0,10,23,1.0,1.0,57.5,0.0,26.5,0.0,197000,395000,294900.0,600,1750,841.3,73725.0,221175.0,12701.61,1058.47,42.06,42.06,84.13,-4625.13,-385.43,-0.06,-15.94,-47.82,-63.76
Maisonette,Birzebbuga,3.0,20,19,2.0,2.0,106.0,0.0,19.5,0.0,240000,450000,315550.0,700,1100,889.47,78887.5,236662.5,13591.02,1132.59,44.47,44.47,88.95,-5052.11,-421.01,-0.06,-15.61,-46.84,-62.46
Apartment,Kirkop,3.0,43,17,2.0,2.0,0.0,0.0,0.0,0.0,225000,370000,290534.88,700,1000,844.12,72633.72,217901.16,12513.6,1042.8,42.21,42.21,84.41,-4410.05,-367.5,-0.06,-16.47,-49.41,-65.88
Apartment,Madliena,3.0,23,53,2.0,2.0,147.5,0.0,17.5,0.0,425000,825000,694695.65,950,3500,2090.83,173673.91,521021.74,29921.17,2493.43,104.54,104.54,209.08,-9849.2,-820.77,-0.06,-17.63,-52.9,-70.53
Penthouse,Zebbug,3.0,68,19,2.0,2.0,120.0,0.0,29.0,0.0,295000,675000,427019.12,700,1700,1105.26,106754.78,320264.34,18392.1,1532.67,55.26,55.26,110.53,-7781.6,-648.47,-0.07,-13.72,-41.16,-54.88
Penthouse,Xghajra,2.0,3,13,2.0,1.0,100.0,0.0,60.0,0.0,340000,440000,374000.0,600,1700,965.38,93500.0,280500.0,16108.52,1342.38,48.27,48.27,96.54,-6840.87,-570.07,-0.07,-13.67,-41.0,-54.67
