Is_Sale,Source,Reference,Town,Type,Latitude,Longitude,Rooms,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
False,Ben Estate,BLAPT133042,Marsascala,Apartment,,,,1,1,68.00,,,850
False,Ben Estate,BLAPT133040,Msida,Apartment,,,,3,2,2.00,,,1200
False,Ben Estate,BLPTH133024,St. Pauls Bay,Penthouse,,,,2,1,100.00,,,750
False,Ben Estate,BLMSN133008,Zejtun,Maisonette,,,,1,1,,,,650
False,Ben Estate,BLPTH133001,Birkirkara,Penthouse,,,,2,2,120.00,,,900
False,Ben Estate,BLPTH132997,Ibragg,Penthouse,,,,1,1,,,,1250
False,Ben Estate,BLCOMM132969,Ta' Xbiex,Commercial,,,,1,,79.00,,,1000
False,Ben Estate,BLAPT132967,Sliema,Apartment,,,,1,1,1.00,,,1500
False,Ben Estate,BLBAR132953,Marsascala,Catering Establishments,,,,2,,68.00,,,2500
False,Ben Estate,BLAPT132947,Gzira,Apartment,,,,2,2,90.00,,,1050
False,Ben Estate,BLAPT132945,Mosta,Apartment,,,,3,1,,,,900
False,Ben Estate,BLAPT132935,Pieta,Apartment,,,,2,2,1.00,,,1000
False,Ben Estate,BLCOMM132922,Sliema,Commercial,,,,1,,105.00,,,1600
False,Ben Estate,BLAPT132904,Gzira,Apartment,,,,2,1,1.00,,,1150
False,Ben Estate,BLAPT132902,Sliema,Apartment,,,,2,2,100.00,,,1300
False,Ben Estate,BLMSN132896,Mqabba,Maisonette,,,,2,2,,,,700
False,Ben Estate,BLMSN132894,Ghaxaq,Maisonette,,,,3,2,220.00,,,1000
False,Ben Estate,BLPTH132890,Swatar,Penthouse,,,,2,2,,,,900
False,Ben Estate,BLAPT132888,Bugibba,Apartment,,,,2,2,100.00,,,1400
False,Ben Estate,BLAPT132886,Bugibba,Apartment,,,,2,2,100.00,,,1200
False,Ben Estate,BLAPT132882,Qawra,Apartment,,,,3,1,117.00,,,800
False,Ben Estate,BLAPT132880,Mosta,Apartment,,,,2,2,,,,800
False,Ben Estate,BLAPT132878,St. Pauls Bay,Apartment,,,,3,2,,,,2000
False,Ben Estate,BLMSN132864,Luqa,Maisonette,,,,2,2,,,,700
False,Ben Estate,BLTWC132856,Siggiewi,Town House,,,,2,2,2.00,,,900
False,Ben Estate,BLAPT132851,Msida,Apartment,,,,2,1,80.00,,,850
False,Ben Estate,BLEVG132849,Qormi,Elavated Garage,,,,,,195.00,,,1200
False,Ben Estate,BLAPT132837,Gozo - Zebbug,Apartment,,,,3,2,,,,700
False,Ben Estate,BLPTH132835,Balzan,Penthouse,,,,1,1,95.00,,,750
False,Ben Estate,BLPTH132833,Msida,Penthouse,,,,2,2,100.00,,,1100
False,Ben Estate,BLAPT132827,Zurrieq,Apartment,,,,3,2,,,,800
False,Ben Estate,BLAPT132825,Swatar,Apartment,,,,3,2,,,,950
False,Ben Estate,BLSTR132815,Burmarrad,Warehouse,,,,1,,180.00,,,60
False,Ben Estate,BLAPT132807,Gzira,Apartment,,,,1,1,,,,800
False,Ben Estate,BLMSN132791,Xghajra,Maisonette,,,,1,1,,,,550
False,Ben Estate,BLTWC132775,Gharghur,Town House,,,,2,2,,,,1000
False,Ben Estate,BL1F132767,Birkirkara,First Floor Apartment,,,,3,2,,,,800
