Is_Sale,Source,Reference,Town,Type,Latitude,Longitude,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
TRUE,Belair,306639,Sliema,Apartment,,,2,2,117,,,850000
TRUE,Belair,801385,St Julians,Townhouse,,,3,2,120,,,850000
TRUE,Belair,135486,Sliema,Apartment,,,3,2,150,,,875000
TRUE,Belair,505082,Gharghur,House of Character,,,3,2,230,,,880000
TRUE,Belair,505178,Swieqi,Duplex Maisonette,,,3,3,150,,,895000
TRUE,Belair,700641,Mellieha,Townhouse,,,4,4,120,,,920000
TRUE,Belair,503126,Madliena,Duplex Penthouse,,,3,3,215,,,935000
TRUE,Belair,701975,Gudja,Townhouse,,,3,3,280,,,950000
TRUE,Belair,137468,Gharghur,Townhouse,,,3,3,266,,,950000
TRUE,Belair,307894,Zebbug,Townhouse,,,3,2,138,,,980000
TRUE,Belair,307518,Kappara,Fully-detached Villa,,,3,2,365,,,990000
TRUE,Belair,307462,Swieqi,Semi-detached Villa,,,3,2,324,,,990000
TRUE,Belair,132559,Sliema,Townhouse,,,7,7,150,,,1000000
TRUE,Belair,306898,Sliema,Penthouse,,,3,4,250,,,1000000
TRUE,Belair,505345,Zebbug,Land with Room/s,,,0,0,9000,,,1000000
TRUE,Belair,504948,Kappara,Fully-detached Villa,,,5,5,500,,,1050000
TRUE,Belair,700881,Zebbug,Townhouse,,,6,3,500,,,1060000
TRUE,Belair,803085,San Pawl Tat-Targa,Fully-detached Villa,,,3,2,297,,,1070000
TRUE,Belair,700848,Floriana,Independent Offices,,,,,287,,,1100000
TRUE,Belair,701794,Sliema,Townhouse,,,7,4,160,,,1100000
TRUE,Belair,504359,Ghaxaq,House of Character,,,4,2,350,,,1190000
TRUE,Belair,800518,"Sliema, Tigne Point",Apartment,,,3,2,166,,,1250000
TRUE,Belair,504674,Sliema,Apartment,,,4,3,390,,,1290000
TRUE,Belair,305425,Mosta,House of Character,,,4,3,700,,,1350000
TRUE,Belair,504575,"St. Julians, Portomaso",Apartment,,,4,4,229,,,1350000
TRUE,Belair,134752,"St. Julians, Portomaso",Apartment,,,2,2,166,,,1420000
TRUE,Belair,700948,Mosta,House of Character,,,3,2,585,,,1450000
TRUE,Belair,307988,Gharghur,House of Character,,,4,1,605,,,1495000
TRUE,Belair,306699,St Julians,Townhouse,,,18,20,212,,,1495000
TRUE,Belair,500575,Swieqi,Duplex Penthouse,,,3,2,450,,,1500000
TRUE,Belair,803196,St Pauls Bay,Semi-detached Villa,,,4,6,350,,,1500000
TRUE,Belair,135817,Valletta,Townhouse,,,4,4,78,,,1500000
TRUE,Belair,135620,Valletta,House of Character,,,8,5,,,,1500000
TRUE,Belair,501760,Ibrag,Within Development Zone (DZ),,,0,0,460,,,1600000
TRUE,Belair,501759,Ibrag,Within Development Zone (DZ),,,0,0,460,,,1600000
TRUE,Belair,24168,"Sliema, Tigne Point",Apartment,,,2,2,134,,,1625000
TRUE,Belair,803274,Attard,Fully-detached Villa,,,4,4,690,,,1650000
TRUE,Belair,135862,"Sliema, Tigne Point",Apartment,,,2,2,177,,,1675000
TRUE,Belair,504266,"Sliema, Fort Cambridge",Apartment,,,3,4,330,,,1700000
TRUE,Belair,137326,Zebbug,Farmhouse,,,3,2,8000,,,1700000
TRUE,Belair,502047,"Sliema, Tigne Point",Duplex Apartment,,,4,1,325,,,1975000
TRUE,Belair,505205,Attard,Fully-detached Villa,,,6,5,700,,,2150000
TRUE,Belair,307353,Zurrieq,House of Character,,,2,0,6600,,,2195000
TRUE,Belair,701100,Sliema,Apartment,,,4,4,426,,,2200000
TRUE,Belair,505343,Qormi,Townhouse,,,4,3,874,,,2200000
TRUE,Belair,504328,Madliena,Semi-detached Villa,,,4,5,550,,,2300000
TRUE,Belair,135578,Madliena,Semi-detached Villa,,,4,4,500,,,2300000
TRUE,Belair,133697,Valletta,Boutique Hotel,,,,,860,,,2350000
TRUE,Belair,18754,Floriana,Warehouse,,,,,530,,,P.O.R
TRUE,Belair,307135,Lija,House of Character,,,5,5,,,,2500000
TRUE,Belair,802276,Lija,House of Character,,,4,4,1500,,,2500000
TRUE,Belair,503269,Madliena,Semi-detached Villa,,,4,4,300,,,2650000
TRUE,Belair,802884,"Mellieha, Santa Maria Estate",Fully-detached Villa,,,4,3,1700,,,2950000
TRUE,Belair,307254,Dingli,Animal Farm,,,,,,,,P.O.R
TRUE,Belair,306021,Madliena,Fully-detached Villa,,,4,4,1565,,,P.O.R
TRUE,Belair,17607,Qrendi,Palazzo / Palazzino,,,4,2,1300,,,3185000
TRUE,Belair,701829,Valletta,Penthouse,,,2,2,297,,,3500000
TRUE,Belair,131312,Rabat,Palazzo / Palazzino,,,3,7,360,,,4300000
TRUE,Belair,306651,Siggiewi,Farmhouse,,,4,4,21900,,,4500000
TRUE,Belair,305007,Mellieha,Detached Bungalow,,,5,5,1400,,,4600000
TRUE,Belair,130842,Madliena,Fully-detached Villa,,,5,5,1190,,,4800000
