Type,Province,Town,Bedrooms,Stage,Reference_count,Bathrooms_median,IntArea_median,ExtArea_median,Price_min,Price_max,Price_median
House of Character,South,Gudja,3.0,Furnished,5,3.0,232.0,118.0,425000.0,950000.0,850000.0
Terraced House,West,Rabat,3.0,Furnished,3,2.0,,,847200.0,960000.0,850000.0
Penthouse Duplex,East,Bahar Ic-Caghaq,3.0,Furnished,2,3.0,170.0,70.0,849000.0,850000.0,849500.0
Townhouse,Central,Attard,3.0,Furnished,2,3.0,,,795000.0,895000.0,845000.0
Townhouse,East,Sliema,4.0,Furnished,10,3.0,181.5,30.0,545000.0,998000.0,842500.0
Townhouse,East,Floriana,3.0,Unclassified,2,2.0,149.0,32.5,795000.0,875000.0,835000.0
Penthouse Duplex,East,Madliena,3.0,Finished,2,3.0,,,730000.0,935000.0,832500.0
Townhouse,West,Zebbug,4.0,Furnished,5,2.0,437.5,435.5,675000.0,1070000.0,820000.0
Townhouse,East,Gharghur,3.0,Finished,2,3.0,,,670000.0,950000.0,810000.0
House of Character,Gozo,Gozo - Xaghra,4.0,Furnished,2,4.0,273.5,531.5,555000.0,1050000.0,802500.0
Plot,North,Xemxija,4.0,Unclassified,2,,,,800000.0,800000.0,800000.0
Townhouse,East,Sliema,3.0,Finished,3,3.0,180.0,50.0,675000.0,850000.0,800000.0
House of Character,South,Birgu,4.0,Furnished,3,2.0,100.0,,750000.0,950000.0,799000.0
Penthouse,East,Kappara,3.0,Plan,2,2.0,140.0,149.0,797000.0,798000.0,797500.0
Townhouse,Central,Mosta,4.0,Furnished,4,2.0,190.0,201.5,375000.0,1100000.0,797500.0
Townhouse,South,Zejtun,4.0,Finished,2,2.0,,,635000.0,957000.0,796000.0
Penthouse,East,Valletta,1.0,Furnished,2,2.0,,,795000.0,795000.0,795000.0
Penthouse Duplex,Central,Balzan,4.0,Finished,2,3.0,,,795000.0,795000.0,795000.0
Townhouse,West,Zebbug,5.0,Furnished,3,3.0,,,695000.0,1100000.0,795000.0
Penthouse Duplex,North,Saint Paul's Bay,3.0,Unclassified,3,2.0,90.0,2.0,460000.0,940000.0,795000.0
Penthouse,East,Kappara,3.0,Finished,3,2.0,,,425000.0,797000.0,794500.0
Penthouse Duplex,East,Gharghur,3.0,Finished,3,2.0,160.0,30.0,790000.0,1325000.0,790000.0
House of Character,West,Zebbug,4.0,Finished,2,4.5,,,630000.0,950000.0,790000.0
Terraced House,East,Swieqi,3.0,Finished,2,2.5,112.0,12.0,780000.0,780000.0,780000.0
Penthouse Duplex,North,Bugibba,3.0,Furnished,2,2.5,240.0,92.0,360000.0,1200000.0,780000.0
House of Character,Central,Mosta,3.0,Unclassified,2,2.0,,,650000.0,904000.0,777000.0
Terraced House,Central,Birkirkara,4.0,Unclassified,2,2.5,271.0,55.0,691000.0,850000.0,770500.0
House of Character,Central,Naxxar,4.0,Furnished,2,2.5,,,745000.0,795000.0,770000.0
House of Character,South,Birgu,3.0,Furnished,2,2.0,,,585000.0,950000.0,767500.0
House of Character,Gozo,Gozo - Gharb,5.0,Plan,2,5.0,314.5,134.5,755000.0,775000.0,765000.0
Townhouse,East,Saint Julian's,4.0,Furnished,2,2.0,237.0,41.5,550000.0,970000.0,760000.0
