Is_Sale,Source,Reference,Town,Type,Latitude,Longitude,Rooms,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
False,Sara Grech,W-023H40,Sliema,Penthouse,,,,3,2,3,,,1500
False,Sara Grech,W-02FXZ7,Sliema,Apartment,,,,3,3,3,,,1500
False,Sara Grech,W-01P0V4,St.Julians,Palazzo,,,,6,6,"5,600",,,17500
False,Sara Grech,W-02G26W,Msida,Apartment,,,,2,2,2,,,1600
False,Sara Grech,W-02MAV9,Pieta,Penthouse,,,,2,2,2,,,1700
False,Sara Grech,W-01Q9E7,Sliema,Apartment,,,,3,3,3,,,1250
False,Sara Grech,W-01DON3,Sliema,Apartment,,,,2,2,2,,,2500
False,Sara Grech,W-020OA3,Iklin,Villa,,,,4,4,4,,,6000
False,Sara Grech,W-02O8JU,Swieqi,Apartment,,,,3,2,3,,,1800
False,Sara Grech,W-022ETR,Sliema,Apartment,,,,3,2,3,,,1000
False,Sara Grech,W-02EM1Y,Sliema,Apartment,,,,3,2,3,,,1500
False,Sara Grech,W-02EPKV,Msida,Apartment,,,,2,1,2,,,1000
False,Sara Grech,W-01DPTU,Ibrag,Apartment,,,,3,1,3,,,1000
False,Sara Grech,W-02D4EM,Ibrag,Maisonette,,,,3,2,3,,,1500
False,Sara Grech,W-02D4H9,Ibrag,Maisonette,,,,3,2,3,,,1200
False,Sara Grech,W-02MXS2,Kappara,Maisonette,,,,3,2,3,,,1400
False,Sara Grech,W-02A7D8,St.Pauls Bay,Apartment,,,,3,2,3,,,1000
False,Sara Grech,W-01H2C3,Bugibba,Apartment,,,,3,2,3,,,1000
False,Sara Grech,W-02J0YK,Sliema,Apartment,,,,2,1,2,,,1400
False,Sara Grech,W-02H7LJ,Qawra,Penthouse,,,,3,2,3,,,1200
False,Sara Grech,W-01DTOJ,St.Julians,Apartment,,,,2,2,2,,,1500
False,Sara Grech,W-01VUJB,St.Julians,Apartment,,,,2,2,2,,,1500
False,Sara Grech,W-02HO0P,Msida,Apartment,,,,2,2,2,,,1000
False,Sara Grech,W-02IL7P,St.Julians,Apartment,,,,2,1,2,,,1000
False,Sara Grech,W-025SA7,San Gwann,Apartment,,,,2,2,2,,,1100
False,Sara Grech,W-01DM4S,Gzira,Penthouse,,,,1,1,1,,,1100
False,Sara Grech,W-01DRFZ,Naxxar,Penthouse,,,,3,2,3,,,1800
False,Sara Grech,W-01QNT4,Gzira,Apartment,,,,2,2,2,,,1200
False,Sara Grech,W-01DVT7,Gzira,Penthouse,,,,2,2,2,,,1200
False,Sara Grech,W-01DSLB,Gzira,Apartment,,,,2,1,2,,,1200
False,Sara Grech,W-02JEH0,San Gwann,Penthouse,,,,2,2,2,,,1000
False,Sara Grech,W-02CZKO,Gzira,Apartment,,,,2,1,2,,,1300
False,Sara Grech,W-01DNPH,San Gwann,House of Character,,,,5,4,"2,000",,,3000
False,Sara Grech,W-02E6HI,Balzan,Villa,,,,6,4,"1,014",,,3500
False,Sara Grech,W-01DPVK,St.Julians,Apartment,,,,3,2,3,,,1600
False,Sara Grech,W-01HR5R,St.Pauls Bay,Apartment,,,,3,2,3,,,1000
False,Sara Grech,W-02CHYI,St.Pauls Bay,Maisonette,,,,2,1,2,,,1250
False,Sara Grech,W-02AZ8R,St.Pauls Bay,Apartment,,,,2,1,2,,,1000
False,Sara Grech,W-028C6E,Bugibba,Apartment,,,,2,2,2,,,1900
False,Sara Grech,W-01DOAS,St.Julians,Apartment,,,,3,2,3,,,1500
False,Sara Grech,W-02N7BX,St.Julians,Apartment,,,,3,2,3,,,1500
False,Sara Grech,W-02G75B,San Gwann,Villa,,,,4,2,4,,,2500
False,Sara Grech,W-01DDEU,St.Julians,Apartment,,,,3,3,3,,,1600
False,Sara Grech,W-02IFD4,Sliema,Apartment,,,,2,2,2,,,1200
False,Sara Grech,W-028DOD,Sliema,Apartment,,,,2,2,2,,,1200
False,Sara Grech,W-02K1N6,Sliema,Penthouse,,,,3,2,3,,,1700
False,Sara Grech,W-02JTIX,Bugibba,Apartment,,,,3,2,3,,,1800
False,Sara Grech,W-01DSR3,St.Julians,Apartment,,,,3,2,3,,,1150
False,Sara Grech,W-01DSR4,St.Julians,Penthouse,,,,2,2,2,,,1600
False,Sara Grech,W-024NAZ,Gzira,Apartment,,,,3,2,3,,,1300
False,Sara Grech,W-02FNHZ,B'Kara,House of Character,,,,4,4,223,,,2500
False,Sara Grech,W-01DN5S,Mosta,Villa,,,,2,1,146,,,1000
False,Sara Grech,W-020UVB,Sliema,Apartment,,,,3,2,3,,,3500
False,Sara Grech,W-026QMB,Sliema,Apartment,,,,3,2,3,,,1000
False,Sara Grech,W-01EHLM,Pieta,Penthouse,,,,2,2,2,,,1500
False,Sara Grech,W-02630Z,Swieqi,Apartment,,,,4,2,4,,,1500
False,Sara Grech,W-01DRJ6,Ibrag,Apartment,,,,4,2,4,,,1300
False,Sara Grech,W-01DRCO,Ibrag,Penthouse,,,,2,2,2,,,1500
False,Sara Grech,W-024W02,Ibrag,Maisonette,,,,3,1,3,,,1100
False,Sara Grech,W-02F2W9,Sliema,Apartment,,,,2,2,2,,,1450
False,Sara Grech,W-026ZFM,Naxxar,Apartment,,,,3,2,3,,,1000
False,Sara Grech,W-022A6G,Swatar,Apartment,,,,3,2,3,,,1200
False,Sara Grech,W-02ETHM,Pembroke,Maisonette,,,,3,2,3,,,1200
False,Sara Grech,W-01DTJU,Ibrag,Terraced House,,,,3,1,138,,,1200
False,Sara Grech,W-02I1D1,M'Xlokk,House of Character,,,,4,3,4,,,2000
False,Sara Grech,W-02F5NA,Pembroke,Maisonette,,,,3,2,3,,,1350
False,Sara Grech,W-01JPFR,Gzira,Apartment,,,,2,1,2,,,1600
False,Sara Grech,W-028Q6D,Sliema,Apartment,,,,3,2,3,,,1500
False,Sara Grech,W-029J7V,Sliema,Penthouse,,,,2,1,2,,,1400
False,Sara Grech,W-01DOLY,Sliema,Apartment,,,,2,1,2,,,1250
False,Sara Grech,W-021E48,San Gwann,Penthouse,,,,2,2,2,,,1300
False,Sara Grech,W-01DOXL,San Pawl Tat-Targa,Bungalow,,,,3,3,3,,,5500
False,Sara Grech,W-0260T6,Sliema,Apartment,,,,3,3,3,,,2000
False,Sara Grech,W-01DVN9,St.Pauls Bay,Apartment,,,,3,2,3,,,1700
False,Sara Grech,W-02EDYQ,Xemxija,Maisonette,,,,3,2,3,,,1200
False,Sara Grech,W-01FEEC,Sliema,Townhouse,,,,2,2,75,,,1100
False,Sara Grech,W-021K93,Msida,Penthouse,,,,2,2,2,,,1000
False,Sara Grech,W-01DWJ5,St.Julians,Apartment,,,,2,1,2,,,1000
False,Sara Grech,W-02PTRK,Ibrag,Maisonette,,,,3,2,3,,,1600
False,Sara Grech,W-023NOI,Sliema,Apartment,,,,3,1,3,,,1150
False,Sara Grech,W-02KUK8,Sliema,Apartment,,,,3,2,3,,,1500
False,Sara Grech,W-01DLKI,Sliema,Apartment,,,,2,2,2,,,2600
False,Sara Grech,W-01DNXT,Sliema,Apartment,,,,3,3,3,,,1950
False,Sara Grech,W-0257FW,Sliema,Apartment,,,,3,3,3,,,3500
False,Sara Grech,W-01DN1I,Sliema,Apartment,,,,2,2,2,,,1650
False,Sara Grech,W-01DPKM,Sliema,Apartment,,,,3,2,3,,,2900
